Itaxon_id	taxon_name	taxon_rank	taxon_clade	phylum	subphylum	class	subclass	order	suborder	superfamily	family	taxon_subfamily	tribe	taxon_genus	taxon_subgenus	pbdb_taxon_no	max_length	max_area	max_vol	extinct_max_length	extinct_max_area	extinct_max_vol	fad_int	lad_int	fad_age	lad_age	range_source	range_year	in_sepkoski	tiering	motility	feeding	ecospace	diet	calc_max_vol	extinct_calc_max_vol	extant	eco_ref	marine	brackish	freshwater	terrestrial
165318	Aphanocomaster	genus		Echinodermata		Crinoidea				Comasteroidea	Comasteridae	Phanogeniinae		Aphanocomaster			3.282857143			3.282857143			Holocene	Holocene	0.0117	0	Treatise	1978	f						11.34002218	11.34002218	t		t		f	f
166015	Athrypsometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae			Athrypsometra			3.292	8.5116	16.7508	3.292	8.5116	16.7508	Holocene	Holocene	0.0117	0	Treatise	2011	f						11.43470358	11.43470358	t		t		f	f
165396	Zygometra	genus		Echinodermata		Crinoidea				Mariametroidea	Zygometridae			Zygometra			3.293333333	6.8889	12.2317	3.293333333	6.8889	12.2317	Holocene	Holocene	0.0117	0	Treatise	1978	f						11.44855509	11.44855509	t		t		f	f
165881	Strotometra	genus		Echinodermata		Crinoidea		Comatulida		Tropiometroidea	Charitometridae			Strotometra			3.33	5.7015	8.2862	3.33	5.7015	8.2862	Holocene	Holocene	0.0117	0	Treatise	2011	f						11.83386111	11.83386111	t		t		f	f
165349	Lamprometra	genus		Echinodermata		Crinoidea				Mariametroidea	Mariametridae			Lamprometra			3.371666667	6.9689	12.2266	3.371666667	6.9689	12.2266	Holocene	Holocene	0.0117	0	Treatise	1978	f						12.2820734	12.2820734	t		t		f	f
41010	Heterometra	genus	Ambulacralia	Echinodermata		Crinoidea		Comatulida						Heterometra		32651	3.378			3.378			Ypresian	Holocene	56	0	Sepkoski	2002	t	2	4	1	241		12.35117512	12.35117512	t		t		f	f
165415	Neometra	genus		Echinodermata		Crinoidea				Tropiometroidea	Calometridae			Neometra			3.446	8.3089	17.0055	3.446	8.3089	17.0055	Holocene	Holocene	0.0117	0	Treatise	1978	f						13.10947941	13.10947941	t		t		f	f
165320	Comatella	genus		Echinodermata		Crinoidea				Comasteroidea	Comasteridae	Phanogeniinae		Comatella			3.65125	5.3733	6.7122	3.65125	5.3733	6.7122	Holocene	Holocene	0.0117	0	Treatise	1978	f						15.58489564	15.58489564	t		t		f	f
165920	Parametra	genus		Echinodermata		Crinoidea		Comatulida		Tropiometroidea	Thalassometridae			Parametra			3.692	10.7057	25.2225	3.692	10.7057	25.2225	Holocene	Holocene	0.0117	0	Treatise	2011	f						16.11069605	16.11069605	t		t		f	f
165079	Sibogacrinus	genus		Echinodermata		Crinoidea		Comatulida	Comatulidina	Atelecrinoidea	Atelecrinidae			Sibogacrinus			3.72	10.8687	18.4974	3.72	10.8687	18.4974	Holocene	Holocene	0.0117	0	Treatise	2011	f						16.47874132	16.47874132	t		t		f	f
165378	Petasometra	genus		Echinodermata		Crinoidea				Mariametroidea	Colobometridae			Petasometra			3.72	4.5286	4.6796	3.72	4.5286	4.6796	Holocene	Holocene	0.0117	0	Treatise	1978	f						16.47874132	16.47874132	t		t		f	f
166011	Adelometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae			Adelometra			3.766666667	8.9243	17.9478	3.766666667	8.9243	17.9478	Holocene	Holocene	0.0117	0	Treatise	2011	f						17.10451102	17.10451102	t		t		f	f
